Polarity,Text
Pos,سعر مناسب جداً مقارنة بالوانيتات الثانية.
Pos,الداخلية واسعة وهي الأوسع في الوانيتات.
Pos,قطع الغيار موب مثل المنتشر بين الناس انها غالية ونادرة بالعكس متوفرة عند الوكيل و السعر جيد.
Neg,الصندوق صغير (في الغمارتين) خصوصاً الخليجي.
Neg,صرفية البنزين عالية شوي.
Neg,قلة المواصفات (خصوصاً في الخليجي).
Pos,سيارة كفو وعملية وكرف ما تقول شيء.
Pos,ويتميز الصندوق بمواصير على الاطراف لربط الحبال من اي مكان تبغى عكس الونيتات الثانية.
Pos,مكاينها نفس مكاين مديلات القديمة يعني فيها من قوة القديم.
Mix,"السيارة كإستخدام شخصي ما تصلح لك أبدا بالرغم من أنها سيارة لا يعلى عليها في المتانة وجوده التصنيع و العمر الافتراضي الطويل ولكن استهلاكها للبنزين عالي, السيارة مطبها قاسي جدا, مراتبها غير مريحة أبدا, السيارة ياعزيزي باختصار مصنوعة للشقاء, خذها على يمناك للاعمال الشاقة وللرحلات البريه او الجبليه وتتفوق على مثيلاتها بمراحل من هالناحية."
Mix,"قطع غيارها بالنسبه للاكسسوار غالية, لقيت الاصطب الخفلي الايسر ب850 ريال بعد الخصم !! اما الأمور الاستهلاكيه للأمانة ما قد غيرت فيها شي غير الفحمات واتوقع شريت نوع ياباني وسعره معقول الاصلي تايلندي وسعره على ما اذكر غالي شوي."
Pos,سعر معقول للي محتاج موتر للتحميل و الكرف.
Pos,"لو اني مكانك وبشتري سيارة بيك اب ابشتري سيارة ديزل، الديماكس او هايلوكس ديزل وغيرها, الديزل توفير وعزم و رخيص ويمشيك أكثر من البنزين."
Pos,موتر قوي جبار واقتصادي انصحك فيه.
Mix,"السيارة عملية وقطعها متوفرة و لا اشتكوا منها من هالناحية, لكن يعيبها قلة المواصفات مقابل ارتفاع سعرها نوعا ما, كذلك الداخلية و الشكل الخارجي الحالي ما هو ذاك الزود صراحه, خصوصا ان السنة الجاية بيتغير شكل الراف فور بيكون أجمل من الشكل الحالي, فأحس إنها غبنة توك تطلع سيارة جديدة و السنة الجاية يتغير شكلها ولو بغيت تبيع سيارتك بيطيح سعرها كثير."
Neg,لا تدور راحه وأمان ورساوة بالفورتنشر.
Pos,الفورتنشر سيارة بر قاسي يتحمل قليل أعطال ال 6 سلندر عزمه ممتاز.
Neg,تراه يصرف بنزين اذا ما تحتاج دبل ثقيل و موتر بر مرتفع.
Mix,من ناحية الراحه يجلس يناقز ومراتبه قاسية بس عزمه ممتاز لو كان 6 سلندر.
Mix,"و الله سيارة يعتمد عليها من جميع النواحي وتعيش معك زمن طويل بالمحافظة عليها, بس متعب حبتين لكن اكيد بتتعود بعد فترة بسيطة و لا راح تندم إن شاء الله."
Mix,"سيارة حلوة وعملية بس يصرف بنزين و لا نفع معاه 91 و لا 95 كله يصرف سواء 6 سرندل او 0,4"
Neg,كان معي 12 اربعة سلندر يصرف بنزين بشكل خيالي وقلق في المطبات بشكل فظيع وبعته ولله الحمد.
Pos,باثفندر عند زميلي بالعمل 2010 فل وربي ممتازة ومريحة سقتها مره وحقيقه عجبتني قطع نيسان غالية ولكن تستاهل.
Mix,"الباثفندر قوي وجبار بس صرفيته العيب الوحيد فيه, بالنسبه للمواتر دي الجيوب تصرف بنزين ويعتبر الجمس أحسن منهم."
Mix,الباث خفيف وعزمه ممتاز وبالاخير كلها مواتر طيبة لكن الجمس افضل بالنسبه لي اذا فيه موتر ثاني للمدينه.
Pos,الباثفندر سيارة امريكيه بمحركات يابانيه جمعت راحه الامريكي مع قوة الياباني.
Neg,"اشتريت اودي A6 2018 امبيشن من الوكالة قبل 4 شهور ولكن لاحظت وجود أصوات بسيطة حبيت استفسر من مالكي السيارة اذا واجهو نفس المشكلة او لا, مع العلم ان السيارة لسى ماكملت 15 الف ممشى."
Pos,أشوف ان الانوفا ممتازة وهي الدارجة بين السواقين و الان أسعارهن نازلات موديل 2008-2012 اتوقع انه الخيار المناسب.  
Pos,"كيا كرنفال مناسبة جدا, سهولة حمل عفش ومريحة للركاب واقتصادية بنفس الوقت."
Pos,خذ كورو لا 2011 نظيف قير اوتوماتيك تخدم معك و لا تصرف بنزين وصيانتها سهلة وسواقتها سهلة.
Pos,صرفية البنزين تعتبر مناسبة جدا.
Pos,مكينتها قوية وتعطيك العزم المناسب و المطلوب.
Pos,طريقة تصنيعها وتركيبها بسيطة ما فيها تكلف وضخامة وثقل وكذا.
Pos,"الدركسون خفيف, ومع المشي ومسكت خط يثقل شوي نوع من الثبات."
Pos,النور العالي ممتاز.
Pos,فراملها لا بأس وخاصة مع نظام ايه بي اس.
Pos,مكيف مضبوط وبارد رغم اني اشغله و السيارة تمشي.
Mix,"فيها ثبات معقول يعني اذا انت انسان سواقتك عاقله, ثبات الالنترا يعجبك مو على اسمها لكن اذا انت متهور, لا في ذمتي ما يخارج معك ثبات الالنترا مره."
Pos,"فيها سهولة قيادة غير عن الموديل اللي قبله, يعني طريقة المقعدة مع الدركسون صارت افضل, مدري اش الفرق لكن الاحظ الشكل الجيد افضل اثناء القيادة."
Pos,"ما تعرف الصناعية, تبي بنزين و زيت فقط."
Pos,فيها حساسات خلفية وأشوفها مفيدة جدا وبلوتوث يعني فيها الاشياء الأساسية.
Neg,"حديدها ضعيف, و الله يستر من الحوادث."
Mix,"العزل الأرضي كويس بس ما هو المطلوب, لكن كويس لان ما هي لكزس او يخت هي النترا بالأول و الأخير."
Mix,"احيانا المكيف بالظهر ما يعطيك البرودة المناسبة, واحيانا تثلج من قوة التبريد."
Mix,"اذا انت مسافر و الهواء قوي جدا, بتحس السيارة تلعب, لكن اذا الاجواء مستقرة, السيارة ثابتة حتى لو توصل 200, رغم ان السرعة تؤدي لوفاة او اعاقة حمانا الله واياكم."
Pos,"الالنترا 2000 سي سي اللي فيها الاشياء الاساسية حساسات وبلوتوث وايرباقات وكذا روعة, انا حبيتها, وما اتوقع بابيعها او افرط فيها."
Neg,"لا تتوقع انها ملفتة للانظار, لان بعض الناس يشتري عشان يكشخ, احب اعلمك من البداية, الالنترا مثلك مثل واحد راكب سيكل."
Pos,السيارة كشكل وتصميم حلو لدرجة الاكنست الجديدة تشبه لها. 
Neg,انها سيارة بسيطة سواءً هي او اللي في فئتها مستحيل تكون ملفتة للانظار.
Pos,الالنترا دخلت الأسوأق عشان تنافس الكورو لا وغيرها وفعلا نجحت ومبروك السيارة.
Pos,احافظ تعيش سنين ان شاء الله وما تكلفني شي لو بصينها عقب كم سنة من الاستخدام وصبورة وخفيفة نفس وما بخاف عليها.
Mix,النترا بطلة الا بموضوع المكيف وهذا عيب الكوري.
Pos,تصميمها جميل خصوصآ الفل جنوط و الالوان كلها جميلة عليها.
Pos,النترا أثبتت انها سيارة عملية جدا.
Mix,صحيح انها تفتقر للقليل من الراحه بس يشفع لها صبرها وخدمتها.
Pos,الموديل الجديد تحسن فيه الشكل و الحديد المستخدم فيها صار أمتن واخف وزن.
Pos,المكيف تبريده جميل وقوي خاصة للمكينة الكبيرة في الليل اضطر اني أقلل برودة الفريون.
Pos,مكينتها ما تغيرت من 2012 ومع ذالك موفرة للوقود القير تحسن عن السابق وصار سلس جدأ مع 6 نمرات.
Pos,سيارة عملية جدا وأثبتت وجودها.
Pos,انا اشتريت كادينزا 2012 فل ماشيه 165 الف وكنت متخوف من ممشاها لكن يشهد الله انها عز عزل ورساوة وعزم اذا نظيفة توكل على الله سيارة تستاهل.
Mix,افضل لك من السوناتا بكثير بس ترا صرفيتها للبنزين لك عليها شوي.
Pos,"السيارة هذه أثبتت نفسها وبقوة, كرف وخطوط وقوة."
Pos,كامري او كورو لا سيارات خدمة وصيانة سهلة وقطع متوفرة.
Pos,الافضل الهايلوكس منتشرة وقطع وصيانة في كل مكان ، وسيارة تجملك في أي مكان ، واذا فكرت تبيع سوقها ماشي وترجع لك قيمة مرضية.
Pos,كيا تطورت كثير وقطعها أصبحت منتشرة وحتى لو ما حصلت شف قبيلها من هونداي وخذها لانها شركه وحده وتركب القطع بالتمام.
Neg,لا أسعار مغرية و لا شيء منافس يميزةا عن السيارات الأخرى.
Mix,البيجو كمواصفات تعتبر افضل من بعض السيارات المنتشرة هنا لكن عيبها أن وكيلها سيء وما يعمل إعلانات ودعاية وينشرها وفوق كذا وكيل واحد محتكرها أركب بيجو 508 ستاندر وقارنها بالكامري ومثيلاتها وتعرف الفرق.
Pos,من ناحية الهيبة و الشكل و المناسب للشوارع السييرا.
Pos,تهمك الراحه الجنسس افضل بدون شك.
Pos,أرشح لك كروس أوفر فخم.
Neg,الرنجر أغلب القطع غير موجوده إلا عند الوكيل وصيانة مكلفة.
Pos,جنيسس افضل راحه وقوة.
Pos,السييرا الحين شكل شبابي وكشخة.
Pos,مازدا و الاكورد اقتصادية وحجم.
Pos,طق لك كامري و ريح رأسك جوده و قطع متوفرة و صيانة سهلة وسعر معقول.
Pos,انصحك بالأكورد اقتصادية جدآ.
Pos,معي سيفيك 17 وأشوفه ما شاء الله توفر بالبنزين.
Mix,المازدا أنسب سيارة عندهم المازدا 6، عملية وممتازة لكن ومواصفاتها حلوة مقارنة بالسعر ان كانه على خبري ب 68، لكن من تجربة بسفر أشوف مقاعدها قاسية شوي وغير مريحة بموديل 2014 مدري عاد كان الجديد اختلف.
Mix,هوندا اكورد سيارة ممتازة من كل النواحي لكن أسعارها غالية و لا انصحك تاخذ مستعمل بمبلغك هذا يجيب لك جديد غيرها.
Mix,الالتيما من افضل السيارات بالصرفية بفئتها وأشوفها مريحة ونفس الشي للإكس تريل اللي نفس القير و المكينة بس مرتفع يعتبر جيب صغير.
Mix,الكامري غنية التعريف صبورة وتكرف وتكييفها ممتاز لكن ما فيها مواصفات وغالية.
Neg,الايسوزو الديزل صيانته مكلفة اذا احتجت صيانة.
Pos,السيارة جميلة جدا ومواصفاتها جبارة واتوقع انها سبقت الوقت بمواصفاتها لدخولها للسوق.
Mix,"كثير منهم جربها وأثنى عليها, لكن مشكلة الوكلاء قلة اهتمام بصيانتها وغيره."
Mix,الرساوة راسية ومريحة صرف البنزين من بعد 160 تصرف داخل المدينه وسرعات أقل من 140 اقتصادية.
Mix,ارتفاع قطع الغيار و لا توجد الا عند الوكيل ودفع هواء المكيف ضعيف شوي و الا التبريد ممتاز ويمدحون الصرفية و الراحه و العزم.
Pos,السيارة ممتازة اخوي معي موديل 2015 ما شاء الله فخامة راحه رساوة وما كلفتني شي للان الا السيرفس العادي كل 10000 كيلو انصح فيها بشده.
Pos,بصراحه لو فيه فخر لشركة شفروليه تفتخر بهاذا الموديل من الكابرس صراحه ابداع من ناحية المنظر و الشكل الداخلي و الخارجي وكان فيه عزم جنان و المكيف كان ثلج من جد من سيارتنا الحين اخر موديل.
Mix,"أكثر سيارة إشتهرت بأعطال الكهرب ومشاكلها, لكن يبقى موتر وحش له طابع رياضي بحت."
Mix,معي واحد من 3 سنوات، ما شاء الله جبار ولكن كل فترة أحتاج أسوي له صيانة وشوية ترهيمات زي المراوح و الانوار وغيرها.
Pos,الشفر من افضل السيارات بالعالم و لا قد تعطل أي قير و لا مشاكل كهرباء.
Mix,الديزل دائما يعطيك عزم لكن ما في تسارع.
Neg,بالنسبة للبرادو 4 سلندر بنزين انا مجربه ضعيف جداً وبعته الي كان معي مديل 2013 صراحه ما يصلح ابد الا داخل المدينه اذا جاك طلوع بدل القير وتحن المكينة وتعاني معه واذا حملته عفش وعايله تكره نفسك صراحه ضعيف جداً الديزل ماجربته لاكن البنزين 4 سلندر ما انصحك ابد.
Mix,التورس قد سقتها ما شاء الله تبارك الرحمن مره روعة من جميع النواحي بس عيبها الوحيد من الداخل ضيقة.
Neg,كنت باخذها بس الوكيل سيء تابع مواضيعي وانت تعرف ليش.
Neg,"النيسان قيره فيه علة وبشكل عام النيسان غير منتشر يخافون من أعطال القير و الهربدة وكيل سيء, البيع ما تحصل من يقول كم السوم."
Pos,الفورشينر انا انصحك فية بقوة سيارة مرتفعة ويخدمك على عافية مدة طويلة.
Mix,الفورتشنر خدوم وشكله ممتاز بس ارتفاعه خطير اذا شفته يمشي قدامي أحسه بينقلب في اي لحظة.
Neg,سبب التنازل عن الكامري 2018 هي الدعايات الي سبقته عن اقتصاد الوقود وطلعت نصب في نصب.
Neg,أكلو مقلب محترم في معدل صرفية الوقود.
Neg,مشاكل الكامري 2018 الي جتنا بالوكالة كلهم يتشكون من الحوامي الي هو مغطي بطن الموتر بالكامل زي السوناتا فيه قربعة مع الشوارع المتكسره ويغيرونها بكلبسات جديدة.
Neg,سبب التنازل القسط عالي.
Pos,السيارة أشوفها جميلة جدا وقفزة  نوعية.
Neg,اذا شغل المكيف على الدرجة الاخيره يسمع من داخل الطبلون صوت طقطقة.
Neg,اساسا مكيف الفورد ما يبرد مره.
Mix,تويوتا طيبة لكن أسعارها في العلالي.
Neg,فورتشنر اعرف انها تصرف بنزين الله يسعدك.
Neg,اغلب الي عندهم باجيرو يشتكون من صرفية البانزين وغلاء قطع الغيار.
Pos,سيارات اليوكن و التاهو صرفيتها معقولة مقارنة بأحجامها وأوزانها.
Mix,باجيرو ممتاز وعند رحيمي مثله لكن فعلا يصرف بنزين.
Pos,أرشح لك نيسان اكستريل اقتصادية مره.
Pos,انت تحب الفخامة اليوكن الشكل الجديد كلمة دلع قليلة بحقه.
Mix,استهلاك البنزين عالي و التانكي صغير لا تدور الاقتصاد ابد بالباجيرو من ناحية الجوده ممتاز ولكن قطعه غالية ولكن كسعر أشوفه ممتاز.
Neg,نصيحة لك ابتعد قدر الامكان عن الباجيرو وغير تفكيرك لسيارة افضل وكيل سيء جدا وأسعاره نار و السيارة غير اقتصادية في البنزين و الخليجي لا يشمله ضمان الوكيل غير القربعة و الأصوات هذا رايي من واقع تجربة.
Neg,الرأي تصرف النظر عنه بسبب صرف البنزين عالي جدا وقطع غياره جدا مرتفعة.
Pos,فيه خيار ممتاز جدا كيا موهافي ممتاز جدا قوة ووسع وراحه لا بأس بها.
Mix,الباجيروا سيارة جيب قوية وجبارة و لا يمكن أن تقارن بها أي سيارة كوري من ناحية البر و المرتفعات انا أتفق مع بعض الاخوان يعيب السيارة صرف البنزين وارتفاع سعر قطع الغيار.
Mix,"هي سيارة ما عليها كلام بس قطع الغيار غالية وتصرف بنزين مع ان محركها 6 سلندر, حجم مكينتها كبيرة 3800 بس عزم ممتاز جدا."
Mix,سيارة عملية وخدومة وقوية في البر عيوبها قساوة السيارة استهلاك البنزين عزم ضعيف.
Neg,السيارة يعيبها الصرفية اما الحرارة فهذي بكل الجيوب.
Mix,"انا معايا باجيرو, و السيارة تخدم معاك مو خمس سنوات بل 20 سنة بدون مبالغة, المشكلة الوحيدة هي صرف البنزين, وصغر التانكي, وقريبا غلاء البنزين مره أخرى."
Neg,في موتر سوح مره ما يستاهل أكثر من 70000 ما في مواصفات وعزمه أبو كلب.
Neg,انا معي و الحمد لله لا يوجد أعطال موتر صبور الى ابعد حد عزم جدا ممتاز رساوة ممتازة بالخط.
Mix,"انا معي من 3 سنوات الموتر يكد زي الحمار و انتم بكرامه ما يقول شي وقطع الغيار رخيصة و لا تسمع كلام اي احد يقول غالي ممكن فقط الاكسسوارات الخارجية غير الميكانيكية غالية في الوكالة و البديل موجود في السوق أرخص من الوكالة ومن مختلف الصناعات و الدرجات وعموما هو مايعرف طريق الصناعية الا لتغيير الزيت, عيبه القساوة وعدم وجود رفاهية."
Pos,نفس الشي انا معي من اربع سنوات اكده كد البعارين يوميا بالبر وكل جمعه القصيم الرياض فيه قساوة يمكن تقليلةا بكفرات لينه وهواء قليل و البنزين خف الدعسة شوي.
Mix,انا معي موديل 2016 مكينة 3800 شاريه جديد الموتر حمار مكده مشكلته استهلاك البنزين بنسبه بسيطة اما قطع غياره متوفرة ويركب عليه قطع اف جي.
Pos,في البر قوي حيل خفيف وحلو استخدامه.
Mix,فيه عيب بسيط وهو عزل الأصوات بالأرضية جيد او جيد جدا و القساوة أول ما تستخدمة بعدها يلين معاك.
Neg,الددسن ضيقة وشكل قديم وعزم متواضع.
Pos,مع نسيبي حول السنتين ما شاء الله الكريم ما يشتكي من شي ابد وجربته انا شخصياً صراحهً انصدمت من قيادته ما شاء الله ثقيل وفي يدك يعني مع احترامي أطلق من ذا الكراتين اللي تسمى جيوب.
Neg,يمكن من عيوبه صرف البنزين مع اني ما قد تناقشت مع نسيبي حول صرفيته بس اذكر انه يقول يعبي كل ثلاث أيام او اربع أيام شي زي كذا يعني استهلاكه عالي شوي.
Mix,"سيارة عملية من الدرجة الأولى اقتصادية عزل قوي رساوة ممتازة, عيوبها الكراسي قاسية ومتعبة بالسفر."
Mix,سيارة قوية اتوقع قطعها شوي غالي.
Neg,قليل انتشارها وقطع الغيار فقط الوكالة او برا بسعر عالي.
Neg,تجميع صيني ماهي مرغوبة.
Pos,"الاكورد موتر ما يختلف عليه اثنين, موتر كد و مد."
Mix,كان عندي 2008 على يدي من الوكالة رساوة وتتحمل عيوبها علبة الدركسون تخرب بإستمرار وهذا أسوأ شي فيها المكيف اذا مشيت خط طويل يصير الدفع ضعيف غير كذا السيارة جودتها حلوة.
Pos,كيا كارنفال سعر وسيعة قوية مريحة راسية.
Pos,أشوف انوفا منتشرة وجميلة.
Pos,الهوندا شكلها جميل وحجمها كبير.
Pos,انوفا تصبر وتكد.
Pos,تاخذ هوندا اوديسي عملية وصبورة.
Pos,الاينوفا وسيعة وحقت مكده.
Mix,البريفيا أوسع وأقوى واريح بكثير من الانوفا و لايوجد مقارنة بس عيبها كثرة التكنلوجيا فيها وغير مرغوبة.
Pos,الانوفا اغلب قطعها مطابقة للهايلكس وتمسك سعرها.
Neg,البريفيا قطعها غالية ومبيعاتها قليل وسعرها يطيح بالأرض.
Neg,افتح كبوت البريفيا لتعرف كمية التعقيد و الصعوبة بها كل شيء بها محشور جدا تغيير البواجي صعب وعند حصول تهريب بماء الرديتر مثلا يصعب حتى اكتشافه عند فتح الكبوت لا ترى سوى ربع المكينة العلوي فكيف تعمل لها صيانة.
Neg,البريفيا شكلها معقد.
Pos,الانوفا أكثر عملية نفس محركات الهايلوكس.
Pos,البريفيا اريح بالسفر ووسيعة واقتصادية بالبنزين.
Pos,عند البيع مرغوبة.
Neg,غير مريحة بالسفر.
Neg,"تصرف بنزين أكثر, الصف الثالث ضيقة غير وسيعة."
Neg,الافانزا لو ركب فيها 5 اشخاص مات عزمها حجم كبير على مكينة صغيرة 1500 سي سي اضافه الى الأمان بها ضعيف لو حصل حادث من الخلف على سرعة 60 تضرر الركاب المقعد الأخير.
Neg,الانوفا مشكلتها ضيقة وما في مكان للشنط وغير مريحة في الخط ما فيه رساوة.
Mix,صراحه الانوفا اللي مخليها تمشي انها مثل محركات الهايلكس يعني ما في خرابات لكن من ناحية رساوة وراحه وسعة فتعبانة من وجهة نظري.
Pos,البريفيا شكل جميل ووسع وراحه.
Neg,الاتش وان يكسر الظهر وشكله قبيح جهم.
Mix,بالنسبه لي أرشح الهوندا اوديسي صحيح قطعها غالية لكن ما تخرب ودليل جودتها شف الموديلات القديمة للحين ماليه الشوارع ومريحة ووسيعة وشكلها جميل جداً جديدة غالية.
Mix,الهوندا افضل سيارة في هذي الفئه بس قطعها تخوف.
Mix,صراحه طيبة من كل النواحي لكن يعيبها سعرها.
Pos,سيارة جميلة كدوامات وبالمدينة صرفية البنزين حلوة وفيها ميزة ECO لتوفير الوقود قطع غيار رخيصة وعادية جدا.
Neg,قير CVT سمعت كثير يشتكون منه.
Pos,تاخد الكرو لا الشكل القديم أشوفها خيار ممتاز اريح ومكيفها افضل.
Pos,2012 الدفع الأولى اعتمادية وقوية ما تطلب كثير شغل و امشي.
Neg,رأيي باليارس انها الأقل عزم و الأعلى سعر بفئتها.
Mix,عن نفسي لو اني بمكانك اكيد باخذ الهايلكس تكرف وتتحمل وعزمها طيب بالبر اذا قير عادي وقطعها موجوده بكل مكان عشان ما تبتلش اخترتها لك لان استخدامك راح يكون بر اما خط ما تنفع الهلي.
Mix,بخصوص الهايلكس الدبل موتر منتشر ويمسك سعره لكن فيه بعض العيوب أول شي ثقل السيارة على المكينة الضعيفة ثاني شي صرفية البنزين العالية ثالث شيء دبلها ما هو ذاك الزود ضعيف واذا غرزت ونتلتها على طول يحترق الكلتش و الموتر جيد لكن ذكرنا عيوبه عشان تكون على بينه.
Neg,راح تطفش منها عزمها ضعيف جدآ.
Neg,يبقى عيبه غير قابل للتصليح وقت الخراب فقط تستبدله.
Pos,انا أشوف السوزوكي افضل قطع غيار رخيصة ويتحمل الكرف ويمسك سعره عند البيع.
Pos,الديهاتسو كانت معي وحدة حمارة مكده ما شاء الله وعملية وقطعها خفيفة على الجيب.
Pos,الرينجر فيه نوع منه ديزل 5 سلندر دبل عزم ورساوة ومواصفات جبارة انا مجربه في خط وفي بر سيارة ممتازة ولها الى الان مع اخي سنة ونص ما اشتكت من شي.
Pos,أسعار السيارات مناسبة.
Pos,ما شاء الله تبارك الله وسيع ومريح جداً ما تحس بالخط و لا غيره.
Neg,الموديلات القديمة أكثرها خرابات وأصوات وقليل تحصل نظيف.
Neg,صراحه من تجربتي لها أشوف عزمها بارد جداً ونظام التوفير مزعج ما ناسبني.
Mix,عندك المقاعد مريحة وجلستها اخر حلاوة بس مطب السيارة قاسي شي مقرف صراحه.
Pos,عزل الصوت رهيب بالخطوط وصرفية البنزين ممتازة أشوفها و المكيف ثلج. 
Pos,الالنترا مكينة أقوى وأوسع.
Neg,يالربع عندي التورس 10 رباعي بعد ما احمي الموتر الصباح و امشي يطلع صوت إحتكاك تقريبا من عند الكفر اليسار امامي ويزيد بقوة اذا لفيت يسار ويختفي اذا لفيت يمين احيانا تصاحبها طقطقة تحت رجولي وانتوا بالكرامه طبعا صوت عالي ومزعج.
Pos,انصحك بالكامري تكرف وما تطلب شي وقريب لي معه كامري يوميا أكثر من 200 كيلو وما شاء الله مع ان الخط كله مطبات وحفر وطرق جبلية بس السيارة تتحمل.
Neg,السيارة عيوبها كالتالي أصوات في ديكورات السيارة مزعجة اذا كان الطريق ما هو مستوي مره و النور فيها جدا تعبان بحكم اني مسكت عليها خطوط كثير وركبت زينون وغيرت اسطب كامل بعدسه صافيه وطلعت بعدها مشكلة بكهرب السيارة ان نور الزينون يرمش مع الاشارات و الوكالة يقولون ما لنا دخل فيها.
Mix,الاكورد 2017 صرفيتها للبنزين فوق الممتاز خصوصاً مع القير الـ CVT يعيبها ان مراتبها قاسية وغير مريحة.
Neg,غالي سعرها على مواصفاتها وعمليتها.
Neg,قطع البدي جدا غالية.
Neg,دقة القير مريبة كل اللي بالسيارة يحسون فيها.
Neg,السيارة معقدة بشكل عجيب مثلا احترق النور الامامي عندك لازم تفك الصدام كامل عشان تغير اللمبة المحروقة. 
Pos,رساوة السيارة و الحافظ الله على سرعات عالية جدا ممتازة واتحدى اي سيارة بسعرها تنافسها. 
Mix,جوده المواد الداخلية جيدة ما قلت انها ممتازة بسبب الديكورات و الطقطقة من البلاستك.
Pos,الشكل روعة و الداخلية جميلة.
Neg,انا ضد السي في تي بالاكسنت فاشل لان العزم ضعيف تضطر انك تحشر الموتر.
Neg,الكامري اذا نفس الموديلات السابقة فهناك تنقيص في زيت المكينة  فتصير تعبي بنزين و زيت مكينة.
Neg,السيارة انتشارها ضعيف ونادر تلقاها وهذا يترتب عليه أن أغلب قطعها ما تتوفر إلا في الوكالة.
Neg,مكيف تبريده تعبان ما يتقارن بالجموس.
Neg,قيره يخبط ما هو حق كرف.
Mix,مره قاسي لكن مراتبه مريحة جدا.
Pos,عضلاته تعمر ما تخرب بسرعة سواقته ممتعة.
Pos,الاكاديا كروس أوفر اريح و افضل صرفية.
Pos,تصميم عصري وجديد ومحرك قوي جديد نشيط واقتصادي ومواصفات افضل وطبعا باعتمادية تويوتا المعهوده في كل سياراتها.
Neg,القير CVT غير جيد في الخطوط ممكن يحتر أو يصير فيه مشاكل.
Pos,لا تخاف نهائياً توكل على الله، القير ممتاز جداً وخاصة في الخطوط وموفر جدا للبنزين وهو المطلوب الآن.
Neg,انا مجرب سنترا 2013 4 سلندر ما تصلح أبدا حنه المكينة مزعجة واذا دعست بنزين يرتفع RPM الى 4 وبعدين ينزل ويطيح عزم السيارة ويرجع يرتفع و اللي يركب معك يقول سواقتك غشيمة.
Neg,القير هذا سيء بسيارات نيسان.
Pos,انصحك بالكورو لا لقوة وكيلها وتوفر قطع الغيار.
Pos,الكورو لا و الله سيارة قوية وتستاهل وتصبر واقتصادية في البنزين.
Neg,فيه خلل وعيب خطير في الوسائد الهوائية بتلك السيارات.
Neg,الاكورد مشاكلها واجد وقطع غيارها ما هي متوفرة.
Neg,صرت لما امسك فرامل تطلع أنواع الأصوات صفير و الحين زادت الأصوات وصار صوت مزعج ما اعرف اوصفه مدري من ايش.
