Text,Polarity
"الشراء بالاسعار الحالية انتحار مالي , فما بالك عندما يكون الشراء عن طريق قروض ربوية.",Neg
تخيل مدينة مثل الرياض تكاد تكون الأولى في مشاكل الاسكان و تضخم العقار لم يوزع فيها لا أراضي و لا فلل في التوزيعات التي أعلنت اليوم، فقط قروض ربوية لشراء فلل المطورين الكرتونية هل هذا يعقل يا ناس.,Neg
"احذر ثم احذر أيها الباحث عن تملك مسكنك خلال الأشهر القليلة القادمة، من التورط بالاقتراض و الشراء لأي أرض أو مسكن, لا تفرط بنفسك ومالك.",Neg
الأكثر غبنا و حسرة عندما يرى ما اشتراه بعد سنة او سنتين بنصف السعر بينما يسدد أقساطه لمدة 20 او 25 سنة.,Neg
ياشباب لا أحد يتورط في فلل كرتونية.,Neg
لا بد من جميع الاخوان يأخذون لفة علي الاحياء التي تعج بالشريطيه و الفلل الكرتونية خصوصا حي الرمال شرق الرياض لترون بأم اعينكم كيف الغش.,Neg
اقسم بالله ان أحد اخوالي ذهب أمس الى أحد الفلل وجد البوية تسيل بسبب المطر و السراميك انكسر فيهم مجرد الدعس عليه بقوه حتي صاحب الفلة انحرج.,Neg
العقار حاليا بهذه الاسعار لا يصلح اطلاقا للاستثمار.,Neg
عندما تنتهي مرحلة انتفاخ الأسعار فكر في الاستثمار. اما الآن فلن تكون الا جسر لتخارج غيرك باسعار خنفشارية.,Neg
بعد فضائح فلل الكراتين مع الأمطار الأخيرة يجب تجريم كل من غش سابقا أو يغش في بناء المساكن بالسجن و الغرامة و هم للأسف بالالاف بسبب عدم وجود أي رادع.,Neg
"أي مجنون عنده رغبة في حرق ماله و الدخول في قرض عقاري بنسبة فائدة عالية, خصوصا و نحن مقبلين على سنوات عجاف من ضريبة مضافة و غيرها.",Neg
موجة التصحيح أقوى من قدرة وزارة الاسكان بوزيرها الحالي و كل أصدقاءه و ربعه.,Pos
الأراضي في نزول تجاوز ال 60% الإيجارات في نزول متزايد و الإنهيار سيحصل عندما يخرج ملايين الأجانب في غضون عدة أشهر.,Pos
الملاحظ أن وتيرة النزول أصبحت اكثر تسارعا خلال الأسابيع الأخيرة.,Pos
لا تنسون ان الفواتير سوف تصدر اخر شهر فبراير وبعدها شوفو كيف راح ينزل.,Pos
العقار حاليا في اتجاه نزولي متواصل و هذا أمر لا يختلف عليه أحد.,Pos
 عشنا خلال ست أو سبع سنوات طفرة رفعت الأسعار بشكل سريع و فلكي للعقار و الأراضي.,Neg
نحن في بداية رحلة طويلة من التصحيح الطبيعي لوضع غير طبيعي.,Pos
"من بداية عام 2018 الى الربع الثالث سنشهد تماسك في أسعار العقار و رفعه بشكل طفيف, ايهام و تكملة تصريف, 2019بداية العويل, 2020 فقاعة العقار تنفجر و كل عام و العقاريين بخير.",Mix
النزول قادم لا محالة.,Pos
المشكلة الرئيسية في أزمة السكن المفتعلة هو إرتفاع أسعار الأراضي بشكل جنوني و غير منطقي بحيث أصبح شراء الأرض بهذه الأسعار غير منطقي اطلاقا.,Neg
أسعار البناء حاليا ممتازة جدا و منخفضة.,Pos
أنا نزل لي 2000 المالك و باضغط عليه. العروض واجد طب و تخير.,Pos
العمارة الأولى اشتريناها أيام الرخص في عام 2005 و جابت حقها و لله الحمد.,Pos
ما زالت الاسعار متضخمة و ليس هناك قدرة على الشراء بهذه الأسعار.,Neg
العقار لم يصل قاعه بعد و لا زال أمامه مشوار هابط.,Pos
بإذن الله العقار نازل حتى يستطيع الجميع امتلاك سكن.,Pos
حضرت مزادات كثيرة و كلها تباع بأغلى من سعر السوق و آخرها مزاد أقيم في أرض الخير بالرياض و تم البيع بأغلى من سعر السوق.,Neg
"أظن أن المزادات فيها تلاعب, الإفتتاح بالسعر يكون عالي جدا أنا عن نفسى قاطعت المزادات.",Neg
الجودة العالية و الضمان لسنوات طويلة جدا لأن معظم مراحل البناء تتم في مصانع بعكس معظم المباني الحالية و المعروضة في السوق و التي يطغي عليها الغش. ,Mix
قد رأينا كوارث من سقوط أسقف و تصدعات و غيرها من المآسي و التي عانى منها الشعب لسنوات طويلة.,Neg
أعلنت وزارة الاسكان أن 50٪ من مشاريعها بالمشاركة مع القطاع الخاص يتم بناءها بالطرق الحديثة.,Pos
أهم ميزات البناء بالطرق الحديثة تتمثل في ثلاثة عناصر.,Pos
التكلفة المنخفضة مقارنة بتكلفة البناء التقليدي. و قد صرح مسؤول في وزارة الإسكان بأن البناء بالطرق الحديثة يوفر مابين 30٪ إلى 50٪ من تكلفة البناء بالطرق التقليدية الحالية.,Pos
"سرعة الإنجاز و قد رأينا قبل أكثر من سنة فيلا يتم بناءها في غضون 33 يوم, أكتب في اليوتيوب فيلا التحدي, و في بداية 2019 رأينا بناء منزل في يومين.",Pos
هذه العوامل الثلاثة هي غاية ما يتمناه طالبي السكن و التي ستساهم بحول الله في سرعة حل مشكلة السكن و التي طالما كانت من المشاكل الرئيسية في البلاد لسنوات طويلة كما إنها ستخفض الأسعار الحالية إلى مستويات متدنية جدا .,Pos
الفلل بمساحات 600 متر للأرض ستكلف بحدود 300 إلى 350 الف ريال مع البناء بالطرق الحديثة و بجودة عالية جدا  سنرى بحول الله أحياء كاملة تنجز و تشيد في ظرف مدة زمنية قصيرة جدا.,Pos
ننصح الجميع بعدم التهور و التورط بهذه الأسعار المبالغ فيها و التي تعاني من رداءة الجودة في غالبها فالخير قادم و الرخص قادم بحول الله.,Mix
البناء بالخرسانة الجاهزة موجود من قديم. لدينا في المدينة المنورة إسكان الخالدية له ما يقارب ال 30 سنة و لازال بجودة عالية جدا.,Pos
"البناء بالطرق الحديثة هو عبارة عن إستخدام التقنية في البناء بحيث يكون معظم البناء في المصانع شغل مصنعي, و التركيب في الموقع و جودته عالية جدا و بضمانات لسنوات طويلة و الميزة الاخرى هو  إنخفاض تكلفته.",Pos
التصاميم تختلف من موقع لموقع، و في المستقبل سيتاح للعميل إختيار التصميم الذي يعجبه، الجميل و المهم في الموضوع هو الجودة العالية و إنخفاض التكلفة.,Pos
الغلاء الفاحش و المبالغ فيه للأراضي. و هذه و لله الحمد رأينا في السنوات الماضية نزول مستمر وصل في بعض المناطق إلى 60٪.,Mix
و مع فرض مزيد من الرسوم على الاراضي و بمراحل متقدمة و مع توزيعات الإسكان للأراضي المجانية سنرى نزول قوي لأسعار الأراضي.,Pos
المبالغة في أسعار الفلل و العمائر السكنية المعروضة حاليا مع رداءة في جودتها و هذه سيقضي عليها بحول الله البناء بالطرق الحديثة.,Mix
استخدام تقنية البناء يضمن الحصول على مبنى صديق للبيئة بجودة أعلى، و تكلفة تنافسية، و عمر إفتراضي أكبر.,Pos
فرض الرسوم في باقي مدن المملكة و كذلك باقي مراحلها  كل هذه ستؤدي الى مزيد من النزول بحول الله.,Pos
اللهم أذهب عنا و عن المسلمين الغلاء، اللهم إن نبيك قد تعوذ من الغلاء و نحن نتعوذ منه، اللهم فاكشف غمته عن المسلمين.,Neg
المشكلة بالأرض. السعر خيالي فوق إستطاعة أي شخص متوسط الحال.,Neg
البناء بالطرق التقليدية و التي يغلب عليها الغش سيكون من الماضي بحول الله.,Mix
المصيبة فيمن باع ضميره و سلم عمله و شغله للعمالة التي عاثت فسادا في أهم سلعة وا لتي قد تسبب كوارث و تذهب فيها أرواح بريئة، و لكن قريبا سيذهبون هم و شغلهم الردئ و عمالتهم الخائنة إلى غير رجعة.,Mix
التقنية الآن هي من سينهي هذه الفوضى و بحول الله، جودة عالية جدا، تكاليف منخفضة، سرعة في الإنجاز.,Mix
نحن الآن على أعتاب مرحلة جديدة فيما يخص السكن و المساكن فعلى الراغبين في السكن عدم الإستعجال و الشراء بهذه الأسعار المجنونة و البناء المغشوش في غالبه.,Mix
ما نشر في وقت سابق عن تكلفة إقامة المساكن في المملكة و إنها تبلغ ثلاثة أضعاف بناء المساكن في دولة غنية.,Neg
لماذا تدفع الأسرة هنا في المملكة قيمة أكثر لإقتناء مسكن و تحصل مقابل ذلك على سنوات قليلة من المنفعة في امتلاكها لذلك المسكن.,Neg
إن هذه التكلفة العالية للحصول على مسكن لا يتجاوز عمره الافتراضي ثلاثة عقود من عمر الأسرة السعودية ربما يعود مبررها بالإضافة للاسباب المباشرة المعروفة مثل كبر مساحة قطعة الأرض السكنية التي يبنى عليها المسكن، و إرتفاع قيمتها.,Neg
يهيمن أكثر من 93٪ من شركات و مؤسسات المقاولات الصغيرة غير المصنفة على سوق بناء المساكن في المملكة من دون أدنى رقيب أو حسيب على ادائها و تحديدا الجانب الفني.,Neg
للأسف إن البعض ممن اقتنى وحدات توفرها شريحة من اولئك المطورون يتفاجأ من حين لآخر بظهور شواهد على رداءة مستوى التنفيذ لتلك الوحدات بسبب إعطاء الأولوية لعنصر التكلفة على حساب المنتج.,Neg
مما قد يضطر البعض منهم للتخلص منها على الفور و لو بأقل من سعر شرائها، لإدراكه مبكرا أن عمرها التشغيلي آخذا في التناقص بوتيرة عالية، و أن منفعته و عائده منها لا يتناسب و ما دفعه مقابل امتلاكها من قيمة.,Neg
مع البناء بالطرق الحديثة و الذي يتميز بجودته العالية و أسعاره المنخفضة سيزيد المعروض و لن يلتفت أحد للمليون وحدة سكنية الشاغرة مما سيؤدي إلى مزيد من التخفيضات و الإنخفاضات.,Pos
البناء بالطرق الحديثة أقل تكلفة و أعلى جودة و أسرع إنجازا و بالتالي سينسف ما تعودوا عليه من إستغلال المواطنين بالتكلفة الفاحشة و الجودة الرديئة.,Mix
بصراحة لا أثق بالوزارة و لا أعتقد أنها جادة أصلا.,Neg
يا وزارة الإسكان أسمع جعجعة و لا أرى طحينا.,Neg
الوزارة غير جادة بإيجاد حلول.,Neg
جميعنا غير راضين تمام الرضا عن عمل وزارة الإسكان خصوصا فيما يتعلق بزج المواطنين لمشانق البنوك.,Neg
البناء بالطرق الحديثة قادم و بقوة.,Pos
بلانا و مشاكل العقار من المكاتب الشريطية الأوباش.,Neg
المنطقة فيها استراحات و أحواش و الكهرباء واصلة و لا عليها أي مشاكل و لله الحمد. لمعاينة الارض و الوقوف عليها التواصل على رقم الجوال.,Pos
"الكبير التزاماته كثيرة و عيال, و تجيك البنوك المتوحشة تلتهم نص راتبه و يجيه المرض و الضغط.",Neg
قد يكون البيت اللي شراه مغشوش من الفجار الذين يعملون بلا ذمة و لا حس وطني و الحد للتقاعد قريب و القسط سلخ.,Neg
شاهدتها في جميع الدول الاوروبية و الامريكية التي زرتها بكثرة و لأنها رخيصة و موفرة على المواطن في العالم العربي ممنوعة.,Mix
و أنا داخل للبيت لاحظت أسفل السور ظهور الحديد و مصدي.,Neg
للأسف سعره مقارب للعادي أو أغلى شوية بسبب اليد العاملة مرتفعة. لكن أنا ما أنصح فيه في بيئتنا هنا.,Neg
حملة الإنقاذ التي يقودها معالي وزير العقاريين و تاجر التراب لإنقاذ ربعه هوامير العقار تأتي ردا على إقرار الدولة لرسوم الأراضي من فوق خشمه و في رواية أخرى من فوق خنافره.,Neg
قد تآمرت مع وزارة العقاريين كل من مؤسسة النقد و وزارة المالية و البنوك التي عادة تعمل لمصلحة الأغنياء دون الفقراء.,Neg
عرفنا ذلك و شهدناه في عربدة البنوك بالمواطن منذ نسبة 12% على القروض و منذ كارثة الأسهم و منذ إنشاء سمة و اليوم كارثة العقار.,Neg
إيقاف صرف القروض من البنك العقاري.,Neg
هذا يعني إجبار شريحة كبيرة من المواطنين ليتملكوا سكنهم عبر القروض البنكية مع رفع سقف مبلغ الإقتراض ليرتفع الطلب على الإسكان فيتيح لتجار التراب استمرار تضخم أسعار أراضيهم.,Neg
إنك ستشتري عقارا غاليا جدا لا يساوي نصف ثمنه.,Neg
إنك ستشتري عقارا مضروبا مغشوشا من مجموعة مقاولين ليست عليهم أية رقابة من أية جهة حكومية. و لا تغرك الضمانات الوهمية فكلها خرطي.,Neg
إن 65% من راتبك تعني أنك ستعمل 20 يوما من الشهر لمدة 20 سنة لتملأ بها جيب الهامور و جيب البنك.,Neg
إن بقاءك مستأجرا لــ 20 سنة لن يكلفك ربع ما تدفعه في بيت أو شقة مغشوشة.,Neg
إذا تورطت في استقطاع ثلاثة أرباع راتبك فعليك أن تنسى تماما كل ما سبق بل عليك أن تنسى حتى مجرد استقبال الضيوف أو ارتياد المطاعم أو شراء الثياب. و جهز نفسك و أسرتك لتعيشوا حياة ضنكا لمدة عشرين سنة إلى الأمام.,Neg
المحزن صندقة 200 متر سعرها 800 الف يشتريها الغلبان 2 مليون من البنوك و يرهن 65٪ من راتبة لمدة 25 سنة كيف سيعيش ب 35٪ من راتبة لثلاثة عقود مؤسف هالوضع.,Neg
من الآخر لا تتورطوا و اتركوها للغربان تعشش فيها.,Neg
يوجد قصور شمال الرياض مساحات مختلفة فاخرة جدا.,Pos
بالعظم يكلف من 250 -270 ريال للمتر بجودة عالية. الفعل المقاولين نصابين و سرق.,Mix
احذر عشان في مقاول سوري حرامي خدع شخص يبني و اخذ عليه شغل يد 170 الف لبناء عمارة 4 شقق. بينما شغل اليد ﻻ يستحق 90 غلي 110 الف ريال.,Neg
الان السباكين أسعارهم نار و كله بسبب فقيه الله يسامحه.,Neg
المقاول و شركات الخرسانة دائما يكون بينهم اتفاق مسبق في الضحك على الزبون يقول نزل 100 متر خرسانة بينما الحقيقة نزل 60 متر و هم يسرقون المسكين و هو ما يدري.,Neg
ما شاء الله تبارك الله كانت آخر سنة يكون فيها متر الحديد 1200 ريال و أكثر المواد في هذا التاريخ من كهرباء و سباكة كانت بجودة عالية جدا. اما الان حتى الاصلي جودته ضعيفة و سعره غالي.,Mix
فيه مقاولين ما يخافون الله.,Neg
المقاوليين 99 % منهم يسرق مواد و يشتغل فيها بأماكن ثانية.,Neg
المقاولين العرب إن قدرت ابعد عنهم ظلمة و حرامية.,Neg
المقاولين الأجانب بجدة يبنون عماير و فلل تمليك بأرخص و أقل المواد و يلعبون في الحديد و السمنت و المواد الصحية و يهتمون بالديكورات و يبيعونها دبل اسعارها على أصحاب القروض و الشركات.,Neg
هم يتولون البناء و الربح دبل و ما تكمل سنة بالفلة الكشخة الا انت ترمم السباكة و الكهرب الداخلية غير التشققات بالجدران خاصة الدبلكسات كلها نصب و ما تكلفهم شيء.,Neg
نصيحه المقاول اللي من دير الزور ابعد عنه لانه صعب التفاهم معه.,Neg
العمار يكلف لأن العمالة محتكرة كل شيء.,Neg
و الله انهم حرامية و اللي يبني يعد قدامهم و يتابع شغله أول بأول لأن الأجانب ماخذين فكره ان السعودي ينسى بسرعة.,Neg
يا عزيزي الكذب لك انت و اشكالك ما عطيتك اﻻ علوم صادقة تبغاها و اﻻ ﻻ تتفلسف انت خموك العمال.,Neg
رح قفل مكتب المقاوﻻت حقك الناس فتحت و عرفت كل شئ جاي في الأخير تبي تنصب على الناس.,Neg
فلنفرض انك بتتفق مع مقاول مصري و هم على رزالتهم يعتبرون الأفضل.,Mix
حرص على شركة الخرسانة انهم ما يخلطون موية مع الخرسانة اذا طلب منهم المقاول ذلك لأن الموية تضعف الخرسانة و انتبهوا لهذا الامر.,Neg
الأفضل للبناء هو البلك الاحمر لأنه خفيف و قوي و عازل و يستخدم للمباني.,Pos
مواسير مصنع الخليج ممتازة و أسعارها لا بأس بها.,Pos
تحتاج لصيانة أو تعديلات بسبب سوء المواد.,Neg
بتتشقق اللياسة والسراميك للجدران والجبس احتمال يتشقق.,Neg
"هذا الكلام عار من الصحة و خطأ.ﻻ أحد يصدق الكلام هذا هذا كلام مقاول نصاب, أجل أرض مساحتها 400 تكلف مليون يا رب هل هذا جنون.",Neg
الحديد و الاسمنت و أسلاك الكهرباء كلها في السعودية أرخص من مصر.,Pos
كاتب الموضوع كشف اﻻعيب المقاولون و هم تضايقوا لأن هذا هو رزقهم.,Neg
